Database;Keyword;Seed keyword;Page;Topic;Page type;Tags;Volume;Keyword Difficulty;CPC (USD);Competitive Density;Number of Results;Intent;SERP Features;Trend;Click potential;Content references;Competitors
de;b2b kunden gewinnen;kunden gewinnen;;Kundengewinnung & Leads;;;140;18;Aug 46;0.60;133;Informational;Adwords Middle, AI Overview, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches;0.00,0.03,0.04,0.03,0.04,0.04,0.07,0.05,0.05,0.04,0.04,0.04;20;;
de;digitale leadgenerierung;leadgenerierung;;Kundengewinnung & Leads;;;140;22;Apr 49;0.37;192;Informational;Site Links, Reviews, Video, People Also Ask, AI Overview;0.05,0.82,0.82,0.43,0.10,0.05,0.28,0.53,0.43,0.28,0.12,0.66;20;;
de;kunden neu gewinnen;kunden gewinnen;;Kundengewinnung & Leads;;;140;24;Mrz 85;0.31;134;Informational;Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links;0.06,0.05,0.08,0.16,0.13,0.06,0.05,0.06,0.16,0.16,0.06,0.05;20;;
de;kundengewinnung im internet;kundengewinnung;;Kundengewinnung & Leads;;;140;9;0.00;0.33;125;Informational;Video, Video Carousel, AI Overview;0.35,0.82,1.00,0.66,0.35,0.35,0.35,0.35,0.28,0.17,0.10,0.07;90;;
de;kundengewinnung methoden;kundengewinnung;;Kundengewinnung & Leads;;;140;10;03. Aug;0.36;130;Informational;Site Links, Reviews, Video, People Also Ask, Related Searches, AI Overview, Image Pack;0.19,0.65,0.53,0.65,0.53,0.53,0.53,0.53,0.53,0.53,0.42,0.53;20;;
de;leadgenerierung bedeutung;leadgenerierung;;Kundengewinnung & Leads;;;140;27;Jan 15;0.26;129;Informational;AI Overview, Image Pack, Reviews, Video, People Also Ask, Related Searches;0.53,0.65,0.80,0.65,0.26,0.26,0.26,0.42,0.53,0.53,0.65,0.53;75;;
de;website keine kunden;website kunden;;Kundengewinnung & Leads;;;140;4;0.00;0.00;110;Informational;AI Overview, Video, Video Carousel, People Also Ask;0.00,0.07,0.07,1.00,0.09,0.07,0.09,0.11,0.09,0.09,0.09,0.09;90;;
de;leadgenerierung b2c;leadgenerierung;;Kundengewinnung & Leads;;;110;10;Apr 76;0.57;118;Informational;Site Links, Video, Video Carousel, People Also Ask, AI Overview;0.15,0.65,0.53,0.65,0.65,1.00,0.53,0.42,0.42,0.34,0.26,0.19;20;;
de;leadgenerierung maßnahmen;leadgenerierung;;Kundengewinnung & Leads;;;110;6;0.00;0.10;1670000;Informational;People Also Ask, Related Searches, AI Overview, Site Links, Video;0.06,1.00,1.00,0.53,0.43,0.34,0.28,0.43,0.65,0.53,0.43,0.81;20;;
de;leadgenerierung online;leadgenerierung;;Kundengewinnung & Leads;;;110;19;Jul 65;0.12;135;Informational;Reviews, Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links;0.52,1.00,1.00,0.66,0.23,0.33,0.52,0.52,0.52,0.33,0.33,0.80;20;;
de;strategien zur kundengewinnung;kundengewinnung;;Kundengewinnung & Leads;;;110;13;Feb 93;0.35;127;Informational;Related Searches, AI Overview, Video, Video Carousel, People Also Ask;0.17,0.10,0.17,0.43,0.12,0.07,0.07,0.23,0.23,0.28,0.10,0.07;90;;
de;anschreiben kundengewinnung;kundengewinnung;;Kundengewinnung & Leads;;;70;18;Jan 90;0.51;107;Informational;Related Searches, AI Overview, Image Pack, Site Links, Reviews, Video, People Also Ask;0.35,0.64,0.50,0.50,0.50,0.50,1.00,0.78,0.78,0.14,0.28,0.14;20;;
de;kundengewinnung marketing;kundengewinnung;;Kundengewinnung & Leads;;;70;11;Feb 82;0.25;133;Informational;Reviews, Video, People Also Ask, Related Searches, AI Overview;0.09,0.52,0.66,0.66,0.33,0.09,0.14,0.33,0.23,0.33,0.23,0.42;75;;
de;kundengewinnung online;kundengewinnung;;Kundengewinnung & Leads;;;70;14;0.00;0.03;128;Informational;Video, People Also Ask, Related Searches, AI Overview;0.18,0.81,0.81,0.81,0.45,0.63,0.81,0.63,0.63,0.36,0.36,0.27;75;;
de;strategie kundengewinnung;kundengewinnung;;Kundengewinnung & Leads;;;70;12;Mrz 46;0.43;132;Informational, Commercial;AI Overview, Reviews, Video, People Also Ask, Related Searches, Adwords Middle;0.33,0.23,0.33,0.42,0.33,0.23,0.33,0.33,0.42,0.23,0.09,0.14;75;;
at;conversion optimization;;;Funnel & Conversion;;;3600;54;0.00;0.24;139;Informational;Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Knowledge Panel;0.55,0.24,1.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;20;;
de;conversion optimierung;conversion optimierung;;Funnel & Conversion;;;2400;27;04. Apr;0.21;132;Informational;AI Overview, Knowledge Panel, Reviews, Video, Video Carousel, People Also Ask;0.34,0.82,0.82,0.82,1.00,1.00,0.82,0.82,0.82,0.44,0.65,0.82;70;;
de;marketing funnel;marketing funnel;;Funnel & Conversion;;;2400;26;Feb 86;0.11;132;Informational;People Also Ask, Related Searches, AI Overview, Knowledge Panel, Reviews, Video, Video Carousel;0.52,1.00,0.52,0.66,0.66,0.80,0.52,0.52,0.66,0.66,0.52,0.52;70;;
de;conversion rate optimierung;conversion optimierung;;Funnel & Conversion;;;1000;28;Apr 66;0.18;136;Informational;Related Searches, Short Videos, AI Overview, Site Links, Video, People Also Ask;0.30,1.00,1.00,0.76,1.00,0.76,0.76,0.76,1.00,1.00,0.76,0.76;20;;
de;landingpage erstellen;landingpage;;Funnel & Conversion;;;1000;24;0.00;0.33;5300000;Informational;AI Overview, Site Links, Video, Adwords Top, Adwords Bottom, People Also Ask, Related Searches;0.46,0.68,0.68,0.84,0.68,0.84,0.84,0.68,0.68,0.68,0.68,1.00;20;;
at;conversion rate optimization;;;Funnel & Conversion;;;880;45;Jul 89;0.03;141;Informational;Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Knowledge Panel, Site Links;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,1.00;20;;
de;funnel marketing;marketing funnel;;Funnel & Conversion;;;880;24;Feb 18;0.17;57300000;Informational;Knowledge Panel, Site Links, Video, Adwords Bottom, People Also Ask, Related Searches, AI Overview;0.34,0.55,0.55,0.30,0.30,0.24,0.20,0.34,0.65,0.44,0.44,0.65;20;;
de;landingpage optimierung;landingpage;;Funnel & Conversion;;;880;21;Mai 28;0.07;126;Informational;Site Links, Video, People Also Ask, AI Overview;0.45,1.00,1.00,1.00,1.00,1.00,0.76,0.67,0.55,0.55,0.36,0.55;20;;
de;conversion rate berechnen;conversion rate;;Funnel & Conversion;;;720;27;Jan 76;0.07;122;Informational;Video, People Also Ask, Related Searches, AI Overview;0.37,0.37,0.37,0.31,0.31,0.37,0.31,0.31,0.37,0.31,0.37,0.31;90;;
de;customer experience journey mapping;customer journey;;Funnel & Conversion;;;720;28;Feb 80;0.14;135;Informational;Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links, Reviews, Video, Adwords Bottom;0.16,0.13,0.24,0.27,0.36,0.13,0.16,0.24,0.20,0.20,0.36,0.24;20;;
de;landingpages erstellen;landingpage;;Funnel & Conversion;;;720;22;Jun 24;0.76;133;Informational;People Also Ask, Related Searches, AI Overview, Site Links, Video, Video Carousel;0.00,1.00,0.11,0.55,0.34,0.20,0.13,0.30,0.30,0.13,0.07,0.11;20;;
de;customer experience journey;customer journey;;Funnel & Conversion;;;590;25;Feb 30;0.11;135;Informational;Knowledge Panel, Video, Video Carousel, People Also Ask, Related Searches, AI Overview;0.02,0.07,0.03,0.05,0.05,0.04,0.05,0.04,0.03,0.04,0.08,0.12;70;;
de;landingpage erstellen lassen;landingpage erstellen lassen;;Funnel & Conversion;;;590;12;Aug 51;0.48;131;Informational, Commercial;Site Links, Video, People Also Ask, Related Searches, AI Overview;0.20,0.67,0.76,1.00,1.00,0.20,0.55,1.00,0.76,1.00,0.55,1.00;20;;
de;b2b customer journey;customer journey;;Funnel & Conversion;;;480;17;Apr 43;0.15;138;Informational;Video, People Also Ask, AI Overview;0.29,0.81,1.00,0.66,0.81,1.00,0.66,0.81,0.66,0.66,0.54,0.44;90;;
de;beispiel landingpage;landingpage;;Funnel & Conversion;;;480;24;Jan 34;0.43;131;Informational;People Also Ask, Related Searches, Site Links, Video;0.30,0.10,0.13,0.16,0.16,0.16,0.13,0.16,0.20,0.16,0.16,0.10;20;;
de;customer journey definition;customer journey;;Funnel & Conversion;;;480;27;0.66;0.13;135;Informational;People Also Ask, Related Searches, AI Overview, Image Pack, Site Links, Video;0.39,0.39,0.48,0.59,0.59,0.88,0.59,0.59,0.48,0.59,0.59,0.48;20;;
de;customer journey phasen;customer journey;;Funnel & Conversion;;;480;20;Feb 65;0.13;134;Informational;Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Video, Image;0.36,0.54,0.54,0.36,0.54,1.00,0.81,0.81,0.54,0.54,0.67,0.67;90;;
de;landingpage aufbau;landingpage;;Funnel & Conversion;;;480;8;Feb 23;0.25;133;Informational;Adwords Top, Adwords Bottom, Video Carousel, People Also Ask, AI Overview, Image Pack, Site Links, Video;0.36,0.66,0.66,0.66,0.66,0.81,0.81,0.81,0.81,1.00,0.66,0.66;20;;
de;conversion-optimierung;conversion optimierung;;Funnel & Conversion;;;390;29;Mrz 93;0.13;132;Informational;Knowledge Panel, Video, People Also Ask, Related Searches, AI Overview;0.29,1.00,1.00,0.66,0.66,0.66,0.54,0.54,0.54,0.54,0.54,0.44;70;;
de;customer journey management;customer journey;;Funnel & Conversion;;;390;19;Mrz 57;0.43;132;Informational;Related Searches, AI Overview, Image Pack, Site Links, Video, People Also Ask;0.14,0.59,0.59,0.59,0.39,1.00,0.59,0.17,0.32,0.48,0.39,0.48;20;;
at;customer journey map;;;Funnel & Conversion;;;390;50;Mrz 40;0.15;62;Informational;Video, Featured Snippet, Image, People Also Ask, Related Searches, Knowledge Panel;0.81,0.54,0.44,0.67,1.00,1.00,0.81,0.81,0.54,0.81,0.54,0.54;70;;
de;erstellen einer landingpage;landingpage;;Funnel & Conversion;;;390;26;Jun 24;0.76;128;Informational;AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches;0.10,0.10,0.08,0.36,0.55,0.45,0.30,0.45,0.30,0.45,0.30,0.36;20;;
de;customer journey b2b;customer journey;;Funnel & Conversion;;;320;15;Apr 88;0.26;135;Informational;Video, Adwords Bottom, Video Carousel, People Also Ask, AI Overview, Image Pack, Site Links, Reviews;0.43,0.66,0.66,0.66,0.66,0.81,0.66,0.66,0.54,0.66,0.66,0.66;20;;
de;customer journey touchpoints;customer journey;;Funnel & Conversion;;;320;23;Feb 75;0.15;128;Informational;Knowledge Panel, Video, Video Carousel, People Also Ask, Related Searches, AI Overview;0.29,0.44,0.44,0.44,0.54,0.67,0.44,0.29,0.29,0.29,0.36,0.36;70;;
de;leads verlieren marketing-funnel gründe;marketing funnel;;Funnel & Conversion;;;320;9;0.00;0.00;48400;Informational;People Also Ask, Related Searches, AI Overview, Reviews, Video;1.00,0.00;90;;
de;aufbau landingpage;landingpage;;Funnel & Conversion;;;260;11;Jan 84;0.34;132;Informational;Image Pack, Site Links, Reviews, Video, People Also Ask, AI Overview;0.54,0.54,0.66,1.00,0.43,0.54,0.54,0.54,0.35,0.43,0.29,0.29;20;;
de;conversion rate steigern;conversion rate;;Funnel & Conversion;;;260;27;Apr 74;0.26;129;Informational;Related Searches, AI Overview, Reviews, Video, Video Carousel, People Also Ask;0.34,1.00,1.00,0.81,1.00,0.81,0.81,1.00,1.00,0.43,0.65,0.65;90;;
de;customer journeys;customer journey;;Funnel & Conversion;;;260;30;Feb 30;0.11;147000000;Informational;Knowledge Panel, Video, Image, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview;0.20,0.76,0.24,0.24,0.06,0.10,0.06,0.16,0.10,0.45,0.10,0.67;70;;
de;marketing funnels;marketing funnel;;Funnel & Conversion;;;260;22;Feb 86;0.11;131;Informational;Knowledge Panel, Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, AI Overview, Reviews, Adwords Middle;0.02,0.19,0.23,0.19,0.29,0.15,0.44,0.54,0.15,0.12,0.81,1.00;70;;
de;sales funnel deutsch;sales funnel;;Funnel & Conversion;;;260;25;Jan 86;0.13;133;Informational;Image Pack, Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview;0.35,0.66,0.44,0.44,0.44,0.44,0.44,0.35,0.35,0.66,0.54,0.44;20;;
de;sales funnels;sales funnel;;Funnel & Conversion;;;260;30;Mrz 39;0.13;130;Informational;People Also Ask, Related Searches, AI Overview, Knowledge Panel, Video, Video Carousel;0.01,0.54,0.54,0.44,0.44,0.23,0.44,0.44,0.12,0.29,0.44,0.29;70;;
de;seo landingpage;landingpage;;Funnel & Conversion;;;260;9;Feb 43;0.07;134;Informational;Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview;0.18,1.00,1.00,0.66,0.44,0.66,0.35,0.44,0.18,0.23,0.66,0.66;20;;
de;touchpoints customer journey;customer journey;;Funnel & Conversion;;;260;27;Feb 55;0.31;138;Informational;People Also Ask, Related Searches, AI Overview, Knowledge Panel, Site Links, Video;0.09,0.44,0.44,0.44,0.44,0.36,0.44,0.15,0.44,0.15,0.36,0.44;20;;
de;b2b sales funnel;sales funnel;;Funnel & Conversion;;;210;10;Apr 59;0.17;133;Informational;AI Overview, Image Pack, Site Links, Video, Adwords Bottom, Video Carousel, People Also Ask, Adwords Middle;0.23,1.00,0.82,0.43,0.28,0.82,0.82,0.35,0.28,0.23,0.43,0.53;20;;
de;conversion rate optimieren;conversion rate;;Funnel & Conversion;;;210;26;07. Okt;0.66;136;Informational;Reviews, Video, People Also Ask, Related Searches, Adwords Middle, AI Overview, Site Links;0.15,1.00,0.81,1.00,1.00,0.21,0.81,0.65,0.53,0.53,0.53,0.65;20;;
de;customer journey analytics;customer journey;;Funnel & Conversion;;;210;26;16.55;0.16;137;Informational;Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links, Video;0.14,0.66,0.81,0.43,0.29,1.00,0.35,0.43,0.35,0.35,0.81,0.66;20;;
de;customer journey beispiel;customer journey;;Funnel & Conversion;;;210;17;Jan 94;0.09;132;Informational;People Also Ask, Related Searches, AI Overview, Image Pack, Site Links, Video, Image;0.23,0.35,0.44,0.35,0.44,0.66,0.28,0.44,0.18,0.15,0.35,0.35;20;;
de;customer journey marketing;customer journey;;Funnel & Conversion;;;210;16;Apr 21;0.09;131;Informational;Image Pack, Video, Video Carousel, People Also Ask, Related Searches, AI Overview;0.28,0.66,0.53,0.53,0.53,1.00,0.43,0.53,1.00,0.82,0.53,0.53;90;;
de;customer journey stages;customer journey;;Funnel & Conversion;;;210;26;Jan 65;0.24;105;Informational;Image, People Also Ask, Related Searches, AI Overview;0.54,0.54,0.35,0.35,0.29,0.35,0.29,0.35,0.54,0.54,0.43,0.43;90;;
us;increase website conversions;ecommerce conversion rate;;Funnel & Conversion;;;210;18;24. Mai;0.29;72700000;Informational;Adwords Bottom, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video;0.81,0.81,1.00,0.65,0.53,0.43,0.34,0.81,0.81,1.00,1.00,0.81;20;;
de;aufbau einer landingpage;landingpage;;Funnel & Conversion;;;170;7;Jan 84;0.34;134;Informational;Image Pack, Site Links, Reviews, Video, Video Carousel, People Also Ask, AI Overview;0.35,0.54,0.66,0.54,0.29,0.29,0.29,0.29,0.29,0.29,0.18,0.29;20;;
de;conversion rate erhöhen;conversion rate;;Funnel & Conversion;;;170;28;Mai 75;0.28;131;Informational;Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Video;0.11,0.65,0.80,0.53,1.00,0.80,0.80,1.00,0.80,0.53,0.42,0.65;20;;
de;customer journey maps;customer journey;;Funnel & Conversion;;;170;30;Mrz 81;0.22;389000000;Informational;AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches;0.03,0.06,0.10,0.05,0.05,0.05,0.24,0.05,0.05,0.06,0.05,0.05;20;;
de;definition customer journey;customer journey;;Funnel & Conversion;;;170;30;0.34;0.08;135;Informational;Image Pack, Site Links, Video, People Also Ask, Related Searches, AI Overview;0.10,0.06,0.06,0.06,0.04,0.10,0.06,0.13,0.13,0.08,0.08,0.08;20;;
de;digital customer journey;customer journey;;Funnel & Conversion;;;170;22;Mai 85;0.33;133;Informational;AI Overview, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Reviews, Adwords Bottom, Related Searches;0.34,0.80,1.00,0.80,1.00,0.26,0.80,0.80,0.80,0.65,0.65,0.80;20;;
de;full funnel marketing;marketing funnel;;Funnel & Conversion;;;170;24;Feb 92;0.12;124;Informational;Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack;0.42,0.65,0.53,0.65,0.80,0.80,1.00,0.80,0.65,0.80,0.80,0.65;20;;
de;funnel sales;sales funnel;;Funnel & Conversion;;;170;25;Mrz 16;0.09;131;Informational;Reviews, Video, Featured Snippet, People Also Ask, Related Searches, Knowledge Panel;1.00,0.54,0.12,0.09,0.09,0.06,0.09,0.12,0.09,0.12,0.23,0.15;70;;
de;landingpage design;landingpage;;Funnel & Conversion;;;170;30;Jan 99;0.25;137;Informational;Adwords Bottom, Video Carousel, People Also Ask, Related Searches, Image Pack, Video, Image;0.12,0.43,0.43,0.53,0.35,0.35,0.66,0.66,0.28,0.17,0.53,0.82;75;;
de;sales funnel beispiel;sales funnel;;Funnel & Conversion;;;170;23;Jan 97;0.15;130;Informational;AI Overview, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Related Searches;0.15,0.81,1.00,0.81,0.65,0.81,0.81,0.81,1.00,0.53,0.65,0.65;20;;
de;sales funnel erstellen;sales funnel;;Funnel & Conversion;;;170;18;Apr 60;0.44;128;Informational;AI Overview, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches;0.12,1.00,1.00,0.35,0.82,0.43,0.17,0.43,0.12,0.28,0.43,0.53;20;;
de;verkaufstrichter;verkaufstrichter;;Funnel & Conversion;;;170;18;09. Apr;0.06;98;Informational;Image Pack, Video, Image, People Also Ask, Related Searches;0.34,0.80,0.65,1.00,0.80,1.00,1.00,0.80,0.42,0.53,0.65,0.65;60;;
at;conversion rate deutsch;;;Funnel & Conversion;;;140;18;0.00;0.02;136;Informational;AI Overview, Reviews, Video, People Also Ask, Related Searches;0.67,0.52,0.52,0.52,0.67,0.81,0.52,1.00,0.81,1.00,1.00,1.00;90;;
de;customer journey analysis;customer journey;;Funnel & Conversion;;;140;23;14.58;0.36;134;Informational;Site Links, Video, Adwords Bottom, Video Carousel, People Also Ask, AI Overview;0.52,1.00,0.80,0.42,0.80,0.80,0.52,0.66,0.42,0.66,1.00,0.66;20;;
de;customer journey software;customer journey;;Funnel & Conversion;;;140;19;0.00;0.46;133;Informational;Related Searches, AI Overview, Image Pack, Site Links, Video;0.07,0.66,0.82,0.53,0.66,0.53,0.28,0.28,0.43,0.28,0.12,0.17;20;;
de;gute conversion rate;conversion rate;;Funnel & Conversion;;;140;16;Feb 30;0.16;545000000;Informational;Site Links, Video, People Also Ask, Related Searches, AI Overview;0.23,1.00,1.00,0.66,1.00,0.42,0.52,0.66,0.80,0.66,0.80,0.80;20;;
de;marketing funnel deutsch;marketing funnel;;Funnel & Conversion;;;140;12;0.68;0.10;137;Informational;Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links;0.34,0.53,0.65,0.42,0.65,0.53,0.53,0.42,0.42,0.53,0.42,0.42;20;;
de;marketing sales funnel;sales funnel;;Funnel & Conversion;;;140;26;Mrz 85;0.05;137;Informational;Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Knowledge Panel, Site Links;0.42,0.42,1.00,0.80,0.33,0.33,0.66,1.00,1.00,1.00,0.66,0.80;20;;
de;online marketing funnel;marketing funnel;;Funnel & Conversion;;;140;13;Jun 41;0.29;134;Informational;People Also Ask, Related Searches, AI Overview, Site Links, Video;0.19,0.80,1.00,0.80,0.26,0.34,0.53,0.53,0.42,0.65,0.19,0.65;20;;
de;sales funnel leads;sales funnel;;Funnel & Conversion;;;140;22;Apr 13;0.13;140;Informational;Related Searches, AI Overview, Image Pack, Video, Adwords Bottom, Video Carousel, People Also Ask;0.00,1.00,0.65,0.81,0.65,0.81,0.81,0.00,0.06,0.00,0.03,0.00;90;;
de;landingpage bauen;landingpage;;Funnel & Conversion;;;110;28;Mai 81;0.37;129;Informational;Related Searches, AI Overview, Image Pack, Video, Video Carousel, People Also Ask;0.09,0.66,0.66,0.52,0.80,0.66,0.52,0.42,0.66,0.52,1.00,1.00;75;;
de;sales funnel b2b;sales funnel;;Funnel & Conversion;;;110;21;Apr 19;0.20;131;Informational;Site Links, Reviews, Video, People Also Ask, Related Searches, AI Overview;0.26,1.00,1.00,0.53,0.34,0.26,0.34,0.34,0.26,0.26,0.53,0.53;20;;
de;funnel erstellen lassen kosten;;;Funnel & Conversion;;Claude BOFU;;;;;;;;;;;
de;claude design;claude;;KI & Automatisierung;;;9900;27;Jan 87;0.04;88;Informational;People Also Ask, Related Searches, AI Overview, Image Pack, Reviews, Video, Image, Video Carousel;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.82;75;;
de;google ads agentur;google ads;;KI & Automatisierung;;;6600;27;25.40;0.64;104;Informational;Site Links, Reviews, Adwords Top, Related Searches, Adwords Middle, AI Overview;0.24,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.66,0.66,0.66,0.81;20;;
de;content marketing agentur;Content;;KI & Automatisierung;;;3600;26;Jul 85;0.32;136;Commercial;Video, People Also Ask, Related Searches, Adwords Middle, Local Pack, Reviews;0.16,0.81,0.81,1.00,0.81,1.00,0.81,0.66,0.66,0.44,0.53,0.66;90;;
at;online marketing agentur linz;online marketing;;KI & Automatisierung;;;3600;28;03. Apr;0.14;109;Commercial;Local Pack, Site Links, Reviews, Video, Related Searches;0.04,0.04,0.07,0.04,0.04,0.04,0.67,1.00,0.82,1.00,0.04,0.04;20;;
de;shopify agentur;shopify agentur;;KI & Automatisierung;;;2400;30;09. Mai;0.60;106;Informational;Reviews, Video, People Also Ask, Related Searches;0.13,0.81,0.65,0.65,0.65,0.81,0.43,0.43,0.36,0.29,0.36,1.00;75;;
at;webdesign agentur österreich;agentur österreich;;KI & Automatisierung;;;2400;23;04. Mai;0.19;107;Commercial;Local Pack, Reviews, Related Searches;0.09,0.05,0.23,0.54,0.54,1.00,0.05,0.05,0.09,0.05,0.54,0.05;90;;
at;werbeagentur;;;KI & Automatisierung;;;2400;56;Feb 25;0.43;127;Transactional;Reviews, Video, Adwords Top, People Also Ask, Related Searches, Adwords Middle, Knowledge Panel, Local Pack;0.55,0.36,0.20,0.36,0.29,0.24,0.20,0.24,0.29,1.00,0.20,0.13;70;;
de;content agentur;Content;;KI & Automatisierung;;;1600;25;Apr 20;0.23;139;Commercial;People Also Ask, Related Searches, Local Pack, Video, Adwords Top, Adwords Bottom;0.24,1.00,1.00,1.00,0.79,1.00,0.79,0.79,0.79,0.66,0.66,0.66;75;;
